codigo,designacao,preco
6040428,Absorvit Energia Max 10 Saquetas,1.57
6053371,Absorvit Super Alimento 20 ampolas 15ml,19.92
6068387,Absorvit Magnesio Resist 10 Ampolas,16.43
6251538,Absorvit Smart Neuro 30 capsulas,1.84
6267906,Absorvit Mulher 50+ 30 Comprimido,8.41
6630889,Absorvit Smart 50+ 30 capsulas,13.94
6656165,Absorvit Geleia Real 30 Comprimidos,4.05
7066498,Absorvit Smart Neuro 30 ampolas,9.70
7076224,Absorvit Mulher 65+ Multivitaminico 300ml,7.94
7076232,Absorvit Homem 65+ Multivitaminico 300ml,16.99
7083865,Absorvit Geleia Real + Ferro 20 Ampolas,4.90
7104174,Absorvit Metabolic Activ 30 Comprimidos,16.24
7112805,Absorvit Magnesio + B6 180 Comprimidos,2.14
7112813,Absorvit 50+ 100 Comprimidos,9.58
7112821,Absorvit Mulher 50+ 100 Comprimidos,19.67
7112839,Absorvit Metabolic Activ 100 Comprimidos,3.01
7113803,Absorvit Smart Mental 30 capsulas,3.87
7353607,Absorvit Energia 30 comprimidos,9.10
7353615,Absorvit Geral 30 Comprimidos,10.76
7353623,Absorvit Infantil Geleia Real 300ml,6.65
7355958,Absorvit Refresh Detox 12 Comprimidos,3.22
7356840,Absorvit Infantil Geleia Real 150ml,14.76
7371278,Absorvit Energia 100 comprimidos,0.59
7376178,Absorvit Super Alimento Xarope 200ml,1.64
7376186,Absorvit Oleo de Figado de Bacalhau 300ml,14.56
7376921,Absorvit Smart Plus 30 capsulas,4.54
7377143,Absorvit Smart Extra Forte,10.65
7377150,Absorvit Smart Extra Forte 30 Ampolas,1.25
7377697,Absorvit Super Alimento Xarope 480ml,11.99
7382101,Absorvit Magnesio + B6 60 comprimidos,16.64
7382119,Absorvit Biloba Ginkgo + B1 60 comprimidos,1.62
7388868,Absorvit 50+ 30 comprimidos,19.41
7389114,Absorvit Silver 30 comprimidos + 30 capsulas,10.71
7393074,Absorvit Geleia Real 1000mg 20 Ampolas,0.64
7393082,Absorvit Smart 50+ 30 ampolas,19.97
